Name,Job/Est Date (next service date),Status,Customer,Service Location,Gallons,Notes For Techs,Frequency
CHRLS Route,01/29/2026,Dispatched,DKW-Wingstop #51503,"25 Bluffton Rd Pritchardville, SC 29910",1000,,12
CHRLS Route,01/15/2026,Dispatched,DKW-WLF #658,"3931 Byrnes Dr Saint Stephen, SC 29479",1000, hose: Tanker:   ServiceTime: ,12
CHRLS Route,01/13/2026,Dispatched,DKW-Ye Old Fashioned,"6554 Rivers Ave North Charleston, SC 29406",1000,,12
CHRLS Route,01/13/2026,Dispatched,DKW-Zaxby's 14301,"433 St. James Avenue Goose Creek, SC 29445",1000,,12
CHRLS Route,01/08/2026,Dispatched,DKW-Zaxby's 67001,"1629 Central Avenue Summerville, SC 29483",1500,,12
Jamel Lloyd,01/26/2026,Scheduled,DKW-Angus Grill,"1001 N 4th St Wilmington, NC 28401",1000,gate is unlocked on Mondays hose: Tanker:   ServiceTime: ,14
Jamel Lloyd,01/07/2026,Closed and Complete,DKW-Applebee's #1140,"2227 DAVE LYLE BLVD ROCK HILL, SC ",1500,Trap location: inside corral,12
Jamel Lloyd,01/08/2026,Scheduled,DKW-Applebee's #1140,"2227 DAVE LYLE BLVD ROCK HILL, SC ",1500,Trap location: inside corral,12
Jamel Lloyd,02/11/2026,Scheduled,DKW-Applebee's #1140,"2227 DAVE LYLE BLVD ROCK HILL, SC ",1500,Trap location: inside corral,12
Jamel Lloyd,03/18/2026,Scheduled,DKW-Applebee's #1140,"2227 DAVE LYLE BLVD ROCK HILL, SC ",1500,Trap location: inside corral,12
Jamel Lloyd,02/09/2026,Scheduled,DkW-Bad Daddy's #211,"1626 East Blvd CharlotteNC,  28203",250,,12
Jamel Lloyd,03/11/2026,Scheduled,DKW-Bojangles #120,"8720 Pineville Matthews Rd Charlotte, NC 28226",1000,right side of building - close to dumpster in roadway hose:30 Tanker: Yes: after hours  ServiceTime: ,12
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #13,"231 E Woodlawn Rd Charlotte, NC 28217",1500,"left side outside drive thru window hose:30 Tanker: no  ServiceTime: pump after hours

",8
Jamel Lloyd,01/26/2026,Scheduled,DKW-Bojangles #147,"520 S College Rd Wilmington, NC 28403",1500,AT DRIVE IN hose:50 Tanker: NO  ServiceTime: EARLY AM,8
Jamel Lloyd,03/23/2026,Scheduled,DKW-Bojangles #147,"520 S College Rd Wilmington, NC 28403",1500,AT DRIVE IN hose:50 Tanker: NO  ServiceTime: EARLY AM,8
Jamel Lloyd,02/25/2026,Scheduled,DKW-Bojangles #168,"11137 E Independence Blvd Matthews, NC 28105",1000,back center between back door and drive-thru speaker. Back the truck past the white line for drive-thru. Do not block drive-thru per customer hose:30 Tanker: Yes: after hours  ServiceTime: ,12
Jamel Lloyd,01/07/2026,Closed and Complete,DKW-Bojangles #18,"555 E Roosevelt Blvd Monroe, NC 28112",1500,right side of building in mulch close to speaker hose:30 Tanker: Yes  ServiceTime: ,10
Jamel Lloyd,01/12/2026,Scheduled,DKW-Bojangles #184,"1657 Bessemer City Rd Gastonia, NC 28052",1500,back center hose:30 Tanker: very tight fit  ServiceTime: pump anytime,12
Jamel Lloyd,02/20/2026,Scheduled,DKW-Bojangles #2005,"610 E Liberty St China Grove, NC 28023",2000,left side of building hose:30 Tanker: Yes  ServiceTime: pump anytime,16
Jamel Lloyd,03/24/2026,Scheduled,DKW-Bojangles #2017,"130 Malcolm Blvd Connelly Springs, NC 28612",1500,parking space hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,01/30/2026,Scheduled,DKW-Bojangles #2022,"6308 Providence Farm Ln Charlotte, NC 28277",1500,back in mulch - has 2 green lids hose:30 Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,02/18/2026,Scheduled,DKW-Bojangles #2030,"1209 N Main St Lancaster, SC 29720",1700,left side in parking space hose: Tanker:   ServiceTime: ,16
Jamel Lloyd,02/23/2026,Scheduled,DKW-Bojangles #2031,"2913 Providence Rd S Waxhaw, NC 28173",1200,Front center in parking space hose: Tanker:   ServiceTime: ,16
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #2035,"107 Beechnut Ln Statesville, NC 28625",1500,front center in drive-thru hose:Not specified Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,02/10/2026,Scheduled,DKW-Bojangles #2042,"2468 Market Center Dr Clemmons, NC 27012",1500,left side of building in drive-thru just before speaker hose:Not specified Tanker: Unknown  ServiceTime: ,4
Jamel Lloyd,03/04/2026,Scheduled,DKW-Bojangles #2084,"DKW-Bojangles #2084204 W Main St Rockwell, NC 28318",1500,,12
Jamel Lloyd,03/12/2026,Scheduled,DKW-Bojangles #380,"818 HWY 24-27 Bypass Albemarle, NC 28001",1000,back left side of building hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,01/15/2026,Scheduled,DKW-Bojangles #382,"DKW-Bojangles #382300 West Blvd Charlotte, NC 28203",1000,trap located in the back,12
Jamel Lloyd,02/12/2026,Scheduled,DKW-Bojangles #382,"DKW-Bojangles #382300 West Blvd Charlotte, NC 28203",1000,trap located in the back,12
Jamel Lloyd,03/12/2026,Scheduled,DKW-Bojangles #382,"DKW-Bojangles #382300 West Blvd Charlotte, NC 28203",1000,trap located in the back,12
Jamel Lloyd,02/17/2026,Scheduled,DKW-Bojangles #386,"1601 E Main St Lincolnton, NC 28092",3000,front right of building hose:30 Tanker: Yes    ServiceTime: ,4
Jamel Lloyd,01/27/2026,Scheduled,DKW-Bojangles #398,"160 Turnersburg Hwy Statesville, NC 28625",1000,in drive thru hose:90 Tanker: very tight fit  ServiceTime: ,4
Jamel Lloyd,03/04/2026,Scheduled,DKW-Bojangles #4,"504 Conover Blvd W Conover, NC 28613",1500,right side in handicap parking hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,01/12/2026,Scheduled,DKW-Bojangles #403,"275 E Plaza Dr Mooresville, NC 28115",1000,in drive-thru - back behind brick wall hose:40 Tanker: No  ServiceTime: ,4
Jamel Lloyd,01/20/2026,Scheduled,DKW-Bojangles #408,"1160 Lenoir Rhyne Blvd SE Hickory, NC 28602",1500,back center close to back door hose:60 Tanker: No  ServiceTime: pump anytime,4
Jamel Lloyd,03/17/2026,Scheduled,DKW-Bojangles #408,"1160 Lenoir Rhyne Blvd SE Hickory, NC 28602",1500,back center close to back door hose:60 Tanker: No  ServiceTime: pump anytime,4
Jamel Lloyd,02/22/2026,Scheduled,DKW-Bojangles #414,"1939 Jake Alexander Blvd W Salisbury, NC 28147",1000,left side in parking space hose:Not specified Tanker: Yes  ServiceTime: pump anytime,8
Jamel Lloyd,02/18/2026,Scheduled,DKW-Bojangles #418,"2520 Brookford Blvd Hickory, NC 28602",1500,right side in parking space hose:30 Tanker: Yes  ServiceTime: pump anytime,4
Jamel Lloyd,01/26/2026,Scheduled,DKW-Bojangles #437,"1612 E Broad St Statesville, NC 28625",1000,back right side of building - have to block drive-thru hose:30 Tanker: Yes  ServiceTime: ,4
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #44,"1101 W Sugar Creek Rd Charlotte, NC 28213",1000,left side of building in parking space hose:30 Tanker: Yes  ServiceTime: pump anytime,12
Jamel Lloyd,01/15/2026,Scheduled,DKW-Bojangles #446,"6915 Albemarle Rd Charlotte, NC 28227",1000,back center hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,03/12/2026,Scheduled,DKW-Bojangles #446,"6915 Albemarle Rd Charlotte, NC 28227",1000,back center hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,03/13/2026,Scheduled,DKW-Bojangles #449,"6450 W Wilkinson Blvd Belmont, NC 28012",1000,park truck on left side of building - have to block drive-thru hose:30 Tanker: No  ServiceTime: pump after hours,8
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #459,"4435 Randolph Rd Charlotte, North Carolina 28211-2325",500,,12
Jamel Lloyd,01/09/2026,Closed and Complete,DKW-Bojangles #470,"900 N Green St Morganton, NC 28655",1000,"back center, have to dig up outlet hose:30 Tanker: Unknown  ServiceTime: ",4
Jamel Lloyd,03/06/2026,Scheduled,DKW-Bojangles #470,"900 N Green St Morganton, NC 28655",1000,"back center, have to dig up outlet hose:30 Tanker: Unknown  ServiceTime: ",4
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #479,"4850 Nc Highway 49 S Harrisburg, NC 28075",1000,back of building at back door hose:40 Tanker:   ServiceTime: ,12
Jamel Lloyd,03/25/2026,Scheduled,DKW-Bojangles #497,"2939 N Center St Hickory, NC 28601",60,"back door under sink	60	no	pump between 5 AM - 10 PM
",4
Jamel Lloyd,02/14/2026,Scheduled,DKW-Bojangles #503,"4435 The Plz Charlotte, NC 28215",1000,back center in mulch - right side of building hose:30 Tanker: Yes  ServiceTime: pump anytime,8
Jamel Lloyd,02/12/2026,Scheduled,DKW-Bojangles #506,"8521 N Tryon St Charlotte, NC 28262",1000,back center between the drive-thru and building in the mulch hose:60 Tanker: no  ServiceTime: pump anytime,12
Jamel Lloyd,01/14/2026,Scheduled,DKW-Bojangles #515,"13812 Hwy 74 East Indian Trail, NC 28079",1000,Back right between back door and drive-thru in red mulch - 2 green plastic lids hose:30 Tanker: Yes: after hours  ServiceTime: pump anytime with straight truck,10
Jamel Lloyd,03/25/2026,Scheduled,DKW-Bojangles #515,"13812 Hwy 74 East Indian Trail, NC 28079",1000,Back right between back door and drive-thru in red mulch - 2 green plastic lids hose:30 Tanker: Yes: after hours  ServiceTime: pump anytime with straight truck,10
Jamel Lloyd,02/25/2026,Scheduled,DKW-Bojangles #517,"1652 NC 67 Jonesville, NC 28642",1500, hose:Not specified Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,03/19/2026,Scheduled,DKW-Bojangles #519,"5321 Old Dowd Rd Charlotte, NC 28208",1100,"drive thru, right side of building in mulch 
hose:30 
Tanker: Yes: after hours  ServiceTime:",16
Jamel Lloyd,01/19/2026,Scheduled,DKW-Bojangles #550,"218 Cleveland Ave Kings Mountain, NC 28086",1000,back center - not in drive-thru hose:30 Tanker:   ServiceTime: ,16
Jamel Lloyd,03/06/2026,Scheduled,DKW-Bojangles #551,"9075 Lawyers Rd Mint Hill, NC 28227",1000,back side of building near to speaker - have to block drive-thru hose:30 Tanker:   ServiceTime: ,12
Jamel Lloyd,03/16/2026,Scheduled,DKW-Bojangles #565,"3129 Monroe Rd Charlotte, NC 28205",1000,back center by drive thru hose:30 Tanker: No  ServiceTime:,16
Jamel Lloyd,03/05/2026,Scheduled,DKW-Bojangles #566,"158 Northwest Dr Jefferson, NC 28640",1500," hose:Not specified Tanker: Unknown  ServiceTime: 

This is a combo tank- will have mostly septic",12
Jamel Lloyd,01/21/2026,Scheduled,DKW-Bojangles #58,"901 E Innes St Salisbury, NC 28144",2200,back left in stone bed. Beside the maple tree across from dumpster hose:30 Tanker: Yes: after hours  ServiceTime: ,12
Jamel Lloyd,01/01/2026,Scheduled,DKW-Bojangles #581,"310 N Salisbury Ave Spencer, NC 28159",2200,left side toward back hose:Not specified Tanker: Yes  ServiceTime: pump anytime,8
Jamel Lloyd,03/13/2026,Scheduled,DKW-Bojangles #582,"18073 S Nc Highway 109 Denton, NC 27239",3000,two traps - (1) front right in parking lot (2) in mulch - has a riser hose: Tanker:   ServiceTime: ,12
Jamel Lloyd,02/25/2026,Scheduled,DKW-Bojangles #583,"6385 Old US Highway 52 Lexington, NC 27295",1000,back center in the stone bed hose:30 Tanker: Yes: after hours  ServiceTime: ,12
Jamel Lloyd,01/14/2026,Scheduled,DKW-Bojangles #591,"10321 Cane Creek Dr Huntersville, North Carolina 28078-7679",1500,front center - not in drive-thru hose:30 Tanker:   ServiceTime: ,16
Jamel Lloyd,01/20/2026,Scheduled,DKW-Bojangles #600,"7571 Nc Highway 127 Hickory, NC 28601",1000,back center in drive-thru hose:30 Tanker: No  ServiceTime: pump anytime,4
Jamel Lloyd,02/12/2026,Scheduled,DKW-Bojangles #618,"6503 W Marshville Blvd Marshville, NC 28103",1300,back right behind parking space hose:30 Tanker: No  ServiceTime: pump anytime,12
Jamel Lloyd,02/02/2026,Scheduled,DKW-Bojangles #630,"1801 E Dixon Blvd Shelby, NC 28152",1000,left side of building - across from drive-thru - tank is close to post in grass under tree hose:30 Tanker: Yes  ServiceTime: pump anytime,12
Jamel Lloyd,03/02/2026,Scheduled,DKW-Bojangles #633,"5296 US Highway 158 Advance, NC 27006",1000,back right behind the drive-thru - have to block drive-thru hose:60 Tanker: Yes: after hours  ServiceTime: pump after hours,8
Jamel Lloyd,02/17/2026,Scheduled,DKW-Bojangles #689,"500 Nc Highway 16 S Taylorsville, NC 28681",1000,left side of building at pick up window hose:40 Tanker: No  ServiceTime: ,4
Jamel Lloyd,02/17/2026,Scheduled,DKW-Bojangles #714,"134 S Nc 16 Business Hwy Denver, NC 28037",1500,Backside of building. Back into handicap space beside drive thru hose:30 Tanker: Yes    ServiceTime: ,4
Jamel Lloyd,02/17/2026,Scheduled,DKW-Bojangles #727,"1115 Copperfield Blvd NE Concord, NC 28025",1000,left side of building in drive-thru hose: Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,02/04/2026,Scheduled,DKW-Bojangles #728,"127 Sparks Xing Forest City, NC 28043",1500, hose:Not specified Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,02/17/2026,Scheduled,DKW-Bojangles #740,"3451 US Highway 601 S Concord, North Carolina 28025-0490",1000,"Near to sidewalk. The lids are in red mulch under the trees hose:30 Tanker:   ServiceTime:
",16
Jamel Lloyd,01/02/2026,Scheduled,DKW-Bojangles #752,"9501 Stafford Rd Charlotte, NC 28215",1500,"Left side of building from Rocky River Rd hose:30 Tanker: Yes: after hours  ServiceTime: pump anytime
Trap is extra deep need extension on stinger to reach the bottom of trap",16
Jamel Lloyd,03/27/2026,Scheduled,DKW-Bojangles #752,"9501 Stafford Rd Charlotte, NC 28215",1500,"Left side of building from Rocky River Rd hose:30 Tanker: Yes: after hours  ServiceTime: pump anytime
Trap is extra deep need extension on stinger to reach the bottom of trap",16
Jamel Lloyd,01/20/2026,Scheduled,DKW-Bojangles #758,"1816 12th Ave NE Hickory, NC 28601",1000,back center in grass hose:30 Tanker: Yes  ServiceTime: pump anytime,4
Jamel Lloyd,01/14/2026,Scheduled,DKW-Bojangles #768,"10329 Mallard Creek Rd Charlotte, NC 28262",1500,right side of building before drive-thru hose: Tanker: Yes: after hours  ServiceTime: ,16
Jamel Lloyd,02/10/2026,Scheduled,DKW-Bojangles #794,"1030 Randolph St Thomasville, NC 27360",1000,right side of building in parking space hose:30 Tanker: Yes: after hours  ServiceTime: pump anytime with straight truck,12
Jamel Lloyd,01/14/2026,Scheduled,DKW-Bojangles #797,"1407 E 3rd St Charlotte, NC 28204",1500,"right side of building in last handicapped parking space  before drive thru hose: Tanker: No  ServiceTime:

",8
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #797,"1407 E 3rd St Charlotte, NC 28204",1500,"right side of building in last handicapped parking space  before drive thru hose: Tanker: No  ServiceTime:

",8
Jamel Lloyd,03/11/2026,Scheduled,DKW-Bojangles #797,"1407 E 3rd St Charlotte, NC 28204",1500,"right side of building in last handicapped parking space  before drive thru hose: Tanker: No  ServiceTime:

",8
Jamel Lloyd,01/07/2026,Scheduled,DKW-Bojangles #856,"402 E Atkins St Dobson, NC 27017","KW Environmental, LLC
SC DHEC #32-025     NCS# 01449     GA FOG# FOG373
Waste Manifest
Grease Trap Waste
 
Multi Trip?          Y            N            (if ""Y"" Why?) ____________________________
 
Hours on site:      1         2        3
 
Gallons ______1500_____________
 
Grease _____________________ inches
 
Water _____________________ Feet
 
Solids _____________________ inches
",right side in handicap parking hose:30 Tanker: Yes  ServiceTime: pump anytime,12
Jamel Lloyd,02/02/2026,Scheduled,DKW-Bojangles #859,"803 W Dixon Blvd Shelby, NC 28152",1500,front center in drive-thru hose:30 Tanker: Unknown  ServiceTime: pump before or after hours - 5 AM - 10 PM,8
Jamel Lloyd,01/12/2026,Scheduled,DKW-Bojangles #862,"625 River Hwy Mooresville, NC 28117",3000,back center in mulch hose:60 Tanker: Yes: after hours  ServiceTime: pump anytime with straight truck,4
Jamel Lloyd,01/15/2026,Scheduled,DKW-Bojangles #863,"541 S Highway 27 Stanley, NC 28164",1000,back right in mulch behind drive-thru hose:30 Tanker: Yes  ServiceTime: pump anytime,4
Jamel Lloyd,03/12/2026,Scheduled,DKW-Bojangles #863,"541 S Highway 27 Stanley, NC 28164",1000,back right in mulch behind drive-thru hose:30 Tanker: Yes  ServiceTime: pump anytime,4
Jamel Lloyd,01/19/2026,Scheduled,DKW-Bojangles #864,"4790 Hickory Blvd Granite Falls, NC 28630",1000,,12
Jamel Lloyd,02/16/2026,Scheduled,DKW-Bojangles #865,"317 S Center St Hildebran, NC 28637","1000
 
",back center behind drive-thru - have to block drive-thru hose:30 Tanker: Yes  ServiceTime: pump anytime,4
Jamel Lloyd,03/25/2026,Scheduled,DKW-Bojangles #866,"1200 Burkemont Ave Morganton, NC 28655",2000,right side in handicap parking hose:30 Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,03/16/2026,Scheduled,DKW-Bojangles #875,"3638 S New Hope Rd Gastonia, NC 28056",1500, hose: Tanker:   ServiceTime: ,12
Jamel Lloyd,02/09/2026,Scheduled,DKW-Bojangles #883,"1046 Charlotte Hwy Troutman, NC 28166",3000,left of handicap space in parking lot - not in drive-thru hose:30 Tanker: Yes  ServiceTime: ,8
Jamel Lloyd,02/09/2026,Scheduled,DKW-Bojangles #885,"325 Huntersville Gateway Blvd Huntersville, NC 28078",1500,beside window - have to block drive-thru hose:30 Tanker: Unknown  ServiceTime: ,8
Jamel Lloyd,03/11/2026,Scheduled,DKW-Bojangles #897,"6120 E Independence Blvd Charlotte, NC 28212",1500,front center hose:30 Tanker:   ServiceTime: ,16
Jamel Lloyd,02/11/2026,Scheduled,DKW-Bojangles #927,"9417 Steele Creek Rd Charlotte, NC 28273",1500,front center - not in drive-thru hose:30 Tanker:   ServiceTime: ,12
Jamel Lloyd,01/26/2026,Scheduled,DKW-Bojangles #930,"1604 Galleria Blvd Charlotte, NC 28270",1500,left side of building from Monroe Rd hose:30 Tanker: Yes  ServiceTime: pump anytime,16
Jamel Lloyd,03/18/2026,Scheduled,DKW-Bojangles #934,"11420 Beaver Farms Rd Charlotte, NC 28215",1500,in parking spaces hose:30 Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,02/20/2026,Scheduled,DKW-Bojangles #960,"20 Raiford Dr Concord, NC 28027",1000, hose:30 Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,01/07/2026,Closed and Complete,DKW-Bojangles #972,"2301 W Roosevelt Blvd Monroe, NC 28110",1500,,12
Jamel Lloyd,03/23/2026,Scheduled,DKW-Bojangles #989,"5612 E NC HWY 150 Maiden, NC 28650",1500,right side of building in parking space,12
Jamel Lloyd,03/16/2026,Scheduled,DKW-Buffalo Wild Wings #0244,"422 Cox Rd Gastonia, NC 28054",1500,back center hose:30 Tanker: Yes  ServiceTime: pump anytime before 11 AM,12
Jamel Lloyd,02/24/2026,Scheduled,DKW-Buffalo Wild Wings #0388,"2410 Highway 70 SE Hickory, NC 28602",1300,back center in parking space hose:30 Tanker: Yes  ServiceTime: pump before 11 AM or after closing,12
Jamel Lloyd,03/04/2026,Scheduled,DKW-Buffalo Wild Wings #0404,"14157 Steele Creek Rd Charlotte, NC 28273",1500,right side of building in parking space - small trap near dumpster hose:30 Tanker: Yes  ServiceTime: pump before 11 AM or after they close,16
Jamel Lloyd,02/09/2026,Scheduled,DKW-Buffalo Wild Wings #0427,"479 River Hwy Mooresville, NC 28117",1500,front left in grass in front of the patio hose:30 Tanker: Yes  ServiceTime: pump before 11 AM,8
Jamel Lloyd,01/07/2026,Closed and Complete,DKW-Buffalo Wild Wings #0431,"1460 Meeting  Blvd #119 Rock Hill, SC 29730",1500,right side of building near sidewalk hose:30 Tanker: yes  ServiceTime: anytime,12
Jamel Lloyd,02/18/2026,Scheduled,DKW-Buffalo Wild Wings #0431,"1460 Meeting  Blvd #119 Rock Hill, SC 29730",1500,right side of building near sidewalk hose:30 Tanker: yes  ServiceTime: anytime,12
Jamel Lloyd,03/11/2026,Scheduled,DKW-Buffalo Wild Wings #0468,"9402 Northlake West Dr Charlotte, NC 28216",1500,front center from  W-T Harris Blvd in parking spaces hose:30 Tanker: Yes  ServiceTime: pump anytime before 11 AM,16
Jamel Lloyd,01/21/2026,Scheduled,DKW-Buffalo Wild Wings #0702,"635 W Fleming Dr Morganton, NC 28655",,back center hose:30 Tanker: Yes   ServiceTime: ,12
Jamel Lloyd,01/27/2026,Scheduled,DKW-Buffalo Wild Wings #0710,"1519 E Innes St Salisbury, NC 28146",1500,right side between dumpster and building in grass beside the trees hose:30 Tanker: Yes  ServiceTime: pump anytime,16
Jamel Lloyd,03/11/2026,Scheduled,DKW-Buffalo Wild Wings #0729,"10706 Providence Rd # 100 Charlotte, NC 28277",1500,front of buidling in sidewalk hose:30 Tanker: Yes   ServiceTime: ,16
Jamel Lloyd,02/25/2026,Scheduled,DKW-Burger King #1243,"4800 Old York Rd Rock Hill, SC 29732",1500, hose: Tanker:   ServiceTime: ,8
Jamel Lloyd,01/09/2026,Closed and Complete,DKW-Burger King #204,"DKW-Burger King  OF MORGANTON736 SOUTH STERLING STREET MORGANTON, NC 28655",1500,,12
Jamel Lloyd,02/11/2026,Scheduled,DKW-Catalina Kitchen Bar,"1942 E 7th St Charlotte, NC 28204",1800,,12
Jamel Lloyd,01/16/2026,Scheduled,DKW-Chick-fil-a,"3117 Pineville Matthews Rd Charlotte, NC 28226",1500,"Trap location: back right corner of restaurant next to drive thru, right side of building center hose: Tanker:   ServiceTime:",8
Jamel Lloyd,01/14/2026,Scheduled,DKW-City Barbeque #10033,"8948 J M Keynes Dr Ste 420 Charlotte, NC 28262",1500,back center hose: Tanker:   ServiceTime: ,8
Jamel Lloyd,01/12/2026,Scheduled,DKW-City Barbeque #10034,"15425 Hodges Cir Huntersville, NC 28078",2200,front in handicap parking lot hose: Tanker:   ServiceTime: ,8
Jamel Lloyd,03/06/2026,Scheduled,DKW-City Barbeque #60 or #10029,"11212 Providence Rd W Charlotte, NC 28277",2000, hose:Not specified Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,01/29/2026,Scheduled,DKW-Cooked For You,"DKW-Cooked For You2428 N Main Street Lincolnton, SC 29082",100,"lid outside back door- service anytime. - After hours, probably easiest",12
Jamel Lloyd,02/01/2026,Closed and Complete,DKW-CSD - Clover  High School,"1625 Highway 55 East Clover, SC 29710",2500, hose: Tanker:   ServiceTime: ,12
Jamel Lloyd,02/20/2026,Scheduled,DKW-Five Guys #2082 - Indian Land,"8374 Charlotte Highway Indian Land, SC 29707",275,,4
Jamel Lloyd,02/26/2026,Scheduled,DKW-Hardee's #150026,"726 E Innes St Salisbury, NC 28144",1000,back center - have to block drive-thru hose:30 Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,01/19/2026,Scheduled,DKW-Hardee's #1500279,"509 E King St Kings Mountain, NC 28086",1000,right side of building in parking space hose:30 Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,03/04/2026,Scheduled,DKW-Hardee's #1500732,"507 W Main St Rockwell, NC 28138",1000, hose:30 Tanker:   ServiceTime: ,16
Jamel Lloyd,01/09/2026,Closed and Complete,DKW-Hardee's #1501617,"863 N Green St Morganton, NC 28655",1000,left side near drive-thru window hose:Not specified Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,01/30/2026,Scheduled,DKW-Hardee's #1501623,"4201 E W T Harris Blvd Charlotte, NC 28215",1000,back left in drive-thru hose:30 Tanker: Yes  ServiceTime: pump after hours,16
Jamel Lloyd,01/21/2026,Scheduled,DKW-Hardee's #1501627,"324 S Center St Hildebran, NC 28637",1000,back center in between drive-thru hose:30 Tanker: Yes: after hours  ServiceTime: ,12
Jamel Lloyd,01/09/2026,Closed and Complete,DKW-Hardee's #1501635,"1205 Burkemont Ave Morganton, NC 28655",1000,left side near drive-thru window hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,02/04/2026,Scheduled,DKW-Hardee's #1501638,"14101 Statesville Rd Huntersville, NC 28078",1100,left side near drive-thru window hose:30 Tanker: Yes   ServiceTime: ,16
Jamel Lloyd,03/17/2026,Scheduled,DKW-Hardee's #1506041,"1110 Lenoir Rhyne Blvd SE Hickory, NC 28602",1500,in drive-thru hose:30 Tanker: No  ServiceTime: ,12
Jamel Lloyd,03/23/2026,Scheduled,DKW-Hardee's #1506314,"5860 Startown Rd Maiden, NC 28650",1500, hose:Not specified Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,01/12/2026,Dispatched,DKW-Hardee's #1506428,"1125 Filbert Hwy York, SC 29745",1500,in parking spaces hose: Tanker: Yes  ServiceTime: ,16
Jamel Lloyd,01/05/2026,Dispatched,DKW-Hooters 1097,"1211 13th Avenue Dr SE Hickory, NC 28602",1500,back center in mulch hose:30 Tanker: Yes  ServiceTime: pump before  AM,12
Jamel Lloyd,03/16/2026,Scheduled,DKW-Longhorn Steakhouse #0125705,"1235 E Dixon Blvd Shelby, North Carolina 28152-6841",1500,,12
Jamel Lloyd,02/19/2026,Scheduled,DKW-Lowes #280,"14021 Boren St Huntersville, NC 28072",1500,,12
Jamel Lloyd,01/05/2026,Scheduled,DKW-PLT-PINE RIDGE H R CTR,"706 Pineywood Rd Thomasville, North Carolina 27360-2753",35,In kitchen floor in front of dishwasher,8
Jamel Lloyd,01/22/2026,Scheduled,DKW-Red Robin #421,"8304 Kenbrooke Dr Charlotte, NC 28262",1500,back left from Toringdon Way close to building in front of big letter that says RR hose:30 Tanker: Yes  ServiceTime: pump before 11 AM,16
Jamel Lloyd,03/19/2026,Scheduled,DKW-Red Robin #421,"8304 Kenbrooke Dr Charlotte, NC 28262",1500,back left from Toringdon Way close to building in front of big letter that says RR hose:30 Tanker: Yes  ServiceTime: pump before 11 AM,16
Jamel Lloyd,03/11/2026,Scheduled,DKW-Red Robin #570 - Northlake Mal,"8425 Northlake Commons Blvd Charlotte, NC 28216",1500,right side of the building hose:30 Tanker: Unknown  ServiceTime: ,12
Jamel Lloyd,02/23/2026,Scheduled,DKW-Red Robin #572 - Mooresville,"613 River Hwy Mooresville, NC 28117",2200,near dumpter - under tree in grass hose:30 Tanker: Unknown  ServiceTime: pump before 11 AM,12
Jamel Lloyd,03/04/2026,Scheduled,DKW-Restoration Hardware #174R,"6903 Phillips Place Ct Charlotte, NC 28210",1500,"Left side of the building if looking from Fairview Rd			
Pump before/after hours - Open Hours 10a-9p",32
Jamel Lloyd,02/24/2026,Scheduled,DKW-Salsarita's #180,"3199 E Franklin Blvd Gastonia, NC 28056",1500,right side of building - above ground hose:25 Tanker: no  ServiceTime: early am before opening,12
Jamel Lloyd,01/15/2026,Scheduled,DKW-Sonic #4983,"DKW-Sonic #49832204 S. Sterling Street Morganton, NC 28655",1000,,12
Jamel Lloyd,02/17/2026,Scheduled,DKW-Steak N Shake #615,"8511 Concord Mills Blvd Concord, NC 28027",1000,in drive-thru hose:30 Tanker:   ServiceTime: ,12
Jamel Lloyd,03/09/2026,Scheduled,DKW-Steak N Shake #649,"635 River Hwy Mooresville, NC 28117",1500,lids between wall and drive-thru hose:30 Tanker: Yes  ServiceTime: ,12
Jamel Lloyd,01/06/2026,Scheduled,DKW-STK Steakhouse Charlotte,"201 S College St Charlotte, North Carolina 28244-0001",1500,behind building,12
Jamel Lloyd,03/31/2026,Scheduled,DKW-STK Steakhouse Charlotte,"201 S College St Charlotte, North Carolina 28244-0001",1500,behind building,12
